dataset1,dataset2,column1,column2,similarity
legacy_products,modern_products,brand,brand,0.38348418961896324
legacy_customers,third_customers,city,city_name,0.27957016726543316
modern_products,third_products,category,category_name,0.27919715682334517
legacy_customers,third_customers,country,country_code,0.27494770841403043
legacy_customers,modern_customers,phone_number,phone,0.26783961343282453
legacy_customers,third_customers,state,state_province,0.26374973609127395
legacy_products,third_products,brand,brand_name,0.254252866984608
modern_products,third_products,brand,brand_name,0.2538950689820126
legacy_customers,modern_customers,email_address,email,0.24811868550164443
modern_customers,third_customers,email,email_addr,0.23921152296293002
legacy_products,legacy_sales,product_sku,product_sku,0.22160713187796977
legacy_customers,third_customers,customer_id,customer_name,0.18797317067043987
third_customers,third_sales,signup_date,sale_date,0.18445747285756176
legacy_customers,legacy_sales,email_address,shipping_address,0.18429449799195421
legacy_sales,third_sales,customer_id,customer_address,0.18368768384552372
modern_sales,third_sales,transaction_total,sale_total,0.18268614942347147
legacy_customers,legacy_sales,registration_date,order_date,0.18129730909475636
third_products,third_sales,item_code,item_code,0.17982391865616099
legacy_customers,legacy_sales,street_address,shipping_address,0.17917831973470616
modern_customers,third_customers,account_created,account_id,0.17722898656170522
third_customers,third_products,country_code,item_code,0.17668768037932558
modern_products,third_sales,stock_quantity,order_quantity,0.17458894527583632
third_products,third_sales,availability_status,delivery_status,0.1740774213199126
third_customers,third_sales,membership_status,delivery_status,0.1740774213199126
third_customers,third_products,membership_status,availability_status,0.1740774213199126
third_customers,third_products,postal_code,item_code,0.17371001243866754
third_customers,third_sales,country_code,item_code,0.1724817970497443
legacy_customers,third_customers,phone_number,contact_number,0.17001943640784684
legacy_sales,modern_sales,product_sku,product_asin,0.17001943640784684
modern_products,third_products,stock_quantity,stock_level,0.16992506293308454
third_customers,third_sales,postal_code,item_code,0.16957500968166356
third_products,third_sales,retail_price,item_price,0.16957500968166356
legacy_products,modern_products,weight_lbs,weight_kg,0.16728978301526945
legacy_customers,modern_customers,premium_member,prime_member,0.16728978301526945
legacy_sales,third_sales,order_id,order_quantity,0.16438108990929512
legacy_products,legacy_sales,list_price,unit_price,0.16286470166208344
legacy_sales,third_sales,order_date,order_quantity,0.16040109832071617
legacy_customers,third_customers,email_address,email_addr,0.15499072034331346
legacy_sales,third_sales,order_date,sale_date,0.15093766759638735
legacy_sales,modern_sales,payment_method,payment_type,0.14950880230906205
legacy_sales,third_sales,payment_method,payment_option,0.14950880230906205
modern_sales,third_sales,payment_type,payment_option,0.1494267398019077
third_customers,third_sales,account_id,sale_id,0.14754600958530967
third_customers,third_products,city_name,item_name,0.14754600958530967
third_customers,third_products,customer_name,item_name,0.14754600958530967
legacy_customers,legacy_products,last_name,product_name,0.14636880553367662
legacy_customers,legacy_products,first_name,product_name,0.14636880553367662
legacy_customers,legacy_sales,customer_id,order_id,0.14462872375656033
legacy_customers,third_sales,registration_date,sale_date,0.14415938210088694
legacy_sales,third_sales,shipping_address,customer_address,0.14316180548939944
third_customers,third_products,city_name,brand_name,0.14300163786061273
third_customers,third_products,customer_name,brand_name,0.14300163786061273
legacy_sales,third_customers,order_date,signup_date,0.14244388990144466
legacy_customers,third_sales,email_address,customer_address,0.14230011564786152
modern_customers,modern_sales,user_id,transaction_id,0.14140340168833165
third_customers,third_products,customer_name,category_name,0.14131301443781066
third_customers,third_products,city_name,category_name,0.14131301443781066
legacy_sales,third_sales,shipping_status,delivery_status,0.140779016392773
