inventory_count,asin,title,category,subcategory,seller,brand,manufacturer,dimensions,product,list,weight,is,
59,,,,,,Optimum Nutrition,Glanbia,,ITEM-3015,54.68,2.04,False,third_system_products.json
70,,,,,,Sony,Sony Electronics,,ITEM-3001,289.35,0.67,False,third_system_products.json
85,,,,,,Hydro Flask,Helen of Troy,,ITEM-3008,37.6,0.63,False,third_system_products.json
107,,,,,,Apple,Apple Inc,"""""",PROD-A014,249.99,0.19,True,legacy_products.csv
122,,,,,,Ninja,SharkNinja,13.2x7.6x13.0,ITEM-3016,142.57,11.67,False,third_system_products.json
123,B08N5WRWNW,Fitbit Charge 5 Advanced Fitness Tracker,Electronics,Wearables,Fitbit_Official,,Fitbit,"{""weight"":""0.11kg"",""condition"":""New"",""features"":[""Fast Shipping"",""Prime Eligible""]}",New,139.99,0.113398,,modern_products.csv
130,B08P4KCJVN,Apple AirPods Pro (2nd Generation),Electronics,Audio,Apple_Official,,Apple,"{""weight"":""0.09kg"",""condition"":""New"",""features"":[""Fast Shipping"",""Prime Eligible""]}",New,239.99,0.08618248,,modern_products.csv
133,B08HGH6J8X,Sony WH-1000XM4 Wireless Noise-Canceling Headphones,Electronics,Audio,Sony_Official,,Sony,"{""weight"":""0.31kg"",""condition"":""New"",""features"":[""Fast Shipping"",""Prime Eligible""]}",New,289.99,0.30844256,,modern_products.csv
135,B07T8JNXRP,The Midnight Library - Hardcover,Books,Fiction,Penguin_Official,,Penguin,"{""weight"":""0.50kg"",""condition"":""New"",""features"":[""Fast Shipping"",""Prime Eligible""]}",New,24.99,0.4989512,,modern_products.csv
144,B07ZPKN6YR,Manduka Pro Yoga Mat - 6mm Thick,Sports,Fitness,Manduka_Official,,Manduka,"{""weight"":""0.95kg"",""condition"":""New"",""features"":[""Fast Shipping"",""Prime Eligible""]}",New,84.99,0.9525432,,modern_products.csv
154,,,,,,Manduka,Manduka LLC,,ITEM-3005,82.23,2.13,False,third_system_products.json
154,,,,,,Cuisinart,Conair Corp,15.3x13.8x17.7,ITEM-3012,86.4,7.51,False,third_system_products.json
159,,,,,,Anker,Anker Innovations,"""""",PROD-A003,12.99,0.12,True,legacy_products.csv
159,,,,,,JBL,Harman International,"""""",PROD-A011,89.99,1.2,True,legacy_products.csv
161,,,,,,SwissGear,Wenger SA,,ITEM-3013,65.55,2.28,False,third_system_products.json
165,,,,,,Ninja,SharkNinja,13.2x7.6x13.0,PROD-A016,129.99,11.8,True,legacy_products.csv
167,B09NBLQH43,"Amazon Essentials Men's Cotton T-Shirt, Multipack",Clothing,Men's Fashion,Amazon_Essentials_Official,,Amazon Essentials,"{""weight"":""0.16kg"",""condition"":""New"",""features"":[""Fast Shipping"",""Prime Eligible""]}",New,24.99,0.1587572,,modern_products.csv
