order_id,customer_id,product_sku,quantity,unit_price,total_amount,order_date,shipping_status,payment_method
SALE-03001,ACC-02399,ITEM-3010,3,46.12,138.36,2023-01-01,Delivered,PayPal
SALE-03002,ACC-02410,ITEM-3002,1,20.75,20.75,2023-01-01,Pending,Bank Transfer
SALE-03003,ACC-02133,ITEM-3001,1,289.35,289.35,2023-01-01,In Transit,Cash on Delivery
SALE-03004,ACC-02420,ITEM-3019,1,9.01,9.01,2023-01-01,Delivered,PayPal
SALE-03005,ACC-02412,ITEM-3020,1,18.67,18.67,2023-01-02,In Transit,Bank Transfer
SALE-03006,ACC-02278,ITEM-3010,1,46.12,46.12,2023-01-02,Completed,Digital Wallet
SALE-03007,ACC-02079,ITEM-3004,1,153.99,153.99,2023-01-02,Pending,Bank Transfer
SALE-03008,ACC-02252,ITEM-3009,1,96.29,96.29,2023-01-02,Pending,Debit Card
SALE-03009,ACC-02036,ITEM-3006,1,370.64,370.64,2023-01-03,Cancelled,Cash on Delivery
SALE-03010,ACC-02270,ITEM-3015,1,54.68,54.68,2023-01-03,Delivered,Digital Wallet
SALE-03011,ACC-02250,ITEM-3012,1,81.42,81.42,2023-01-03,Processing,PayPal
SALE-03012,ACC-02497,ITEM-3001,1,275.03,275.03,2023-01-03,In Transit,PayPal
SALE-03013,ACC-02195,ITEM-3017,1,107.6,107.6,2023-01-03,Delivered,Cash on Delivery
SALE-03014,ACC-02089,ITEM-3016,1,142.57,142.57,2023-01-04,Processing,PayPal
SALE-03015,ACC-02191,ITEM-3003,1,14.26,14.26,2023-01-04,In Transit,Cash on Delivery
SALE-03016,ACC-02470,ITEM-3012,1,73.05,73.05,2023-01-04,Cancelled,Credit Card
SALE-03017,ACC-02265,ITEM-3007,1,119.53,119.53,2023-01-04,In Transit,PayPal
SALE-03018,ACC-02136,ITEM-3014,1,239.35,239.35,2023-01-04,In Transit,PayPal
SALE-03019,ACC-02329,ITEM-3014,5,246.69,1233.45,2023-01-04,In Transit,Bank Transfer
SALE-03020,ACC-02364,ITEM-3019,1,9.01,9.01,2023-01-04,In Transit,Cash on Delivery
SALE-03021,ACC-02318,ITEM-3008,1,37.6,37.6,2023-01-05,In Transit,PayPal
SALE-03022,ACC-02123,ITEM-3012,1,86.4,86.4,2023-01-05,Cancelled,PayPal
SALE-03023,ACC-02248,ITEM-3012,4,86.4,345.6,2023-01-05,Returned,Credit Card
SALE-03024,ACC-02385,ITEM-3007,2,119.53,239.06,2023-01-05,Pending,Cash on Delivery
SALE-03025,ACC-02318,ITEM-3012,1,79.58,79.58,2023-01-05,Processing,PayPal
SALE-03026,ACC-02201,ITEM-3018,1,24.92,24.92,2023-01-06,Completed,Credit Card
SALE-03027,ACC-02384,ITEM-3006,4,370.64,1482.56,2023-01-06,Completed,Digital Wallet
SALE-03028,ACC-02053,ITEM-3008,1,37.6,37.6,2023-01-06,Completed,Digital Wallet
SALE-03029,ACC-02430,ITEM-3014,1,225.81,225.81,2023-01-06,Delivered,Cash on Delivery
SALE-03030,ACC-02448,ITEM-3018,1,26.2,26.2,2023-01-06,In Transit,Credit Card
SALE-03031,ACC-02266,ITEM-3016,1,134.26,134.26,2023-01-06,Cancelled,Digital Wallet
SALE-03032,ACC-02280,ITEM-3011,1,95.37,95.37,2023-01-06,In Transit,Debit Card
SALE-03033,ACC-02409,ITEM-3013,1,65.55,65.55,2023-01-06,Delivered,Digital Wallet
SALE-03034,ACC-02241,ITEM-3020,1,18.67,18.67,2023-01-07,In Transit,PayPal
SALE-03035,ACC-02487,ITEM-3015,1,54.68,54.68,2023-01-07,Completed,Bank Transfer
SALE-03036,ACC-02078,ITEM-3003,1,14.26,14.26,2023-01-07,Cancelled,Bank Transfer
